commit	val_loss	memory_gb	status	description
872be1d	325305.968750	4.7	keep	baseline
c31c8e9	290336.031250	4.7	keep	enable TF32 matmul
46c21f7	331447.875000	4.6	discard	bf16 autocast (slower: cast overhead on vocab-sized loss tensors)
866116e	312310.500000	4.6	discard	flash attn default scale (changed attn temperature)
dca591e	300865.312500	4.6	keep	fused QKV + SDPA, matched scale (+40% steps/s; val under noisy eval)
47451c1	308086.906250	4.6	keep	harness: deterministic fixed-seed eval (numbers below not comparable to above)
c8ab64b	294737.687500	4.6	keep	harness: eval_iters 100->40 (REFERENCE for all runs below)
079b9f0	294316.093750	4.6	keep	fused Adam (opt 37ms->25ms)
dd1589c	296749.187500	4.6	discard	cosine decay over 1500 steps (premature decay hurts underfit model)
ba80841	288760.937500	4.6	keep	double peak LR to 6e-4
32f62ca	288706.750000	4.6	keep	peak LR 1e-3 (LR sweep plateaued)
07765f2	288302.437500	4.6	keep	disable dropout (underfit model)
f0781a3	288498.656250	4.8	discard	SwiGLU FFN (marginally worse, +memory)
a1a8274	289215.250000	4.6	discard	RMSNorm (worse than LayerNorm here)
5703a6c	287898.937500	4.6	keep	reduce warmup 300->100
f35071d	294162.718750	7.9	discard	batch 32 (halved steps; model is step-bound)
8fb32bd	316126.843750	2.9	discard	batch 8 (noisy grads, poor generalization; batch 16 best)
3ab6fc2	287129.593750	4.6	keep	sinusoidal time embedding
3e5c497	286682.000000	4.7	keep	QK-norm (RMSNorm on per-head q,k)
b2y30zgte	0.000000	0.0	crash	torch.compile (no Triton on Windows)
37c3927	287100.593750	4.7	discard	zero-init lm_head (better start, marginally worse end)
abd0fd5	292846.750000	4.7	discard	Adam beta2 0.95 (worse; 0.999 better)
fd2fc90	288663.187500	4.7	discard	LR 1.5e-3 (worse; 1e-3 optimal)
379e9c0	358174752768.000000	4.3	discard	weight tying (diverged; output head feeds exp, cannot share input embed)
889f4b2	286316.812500	4.5	keep	fewer layers 8->6 (slightly better + simpler)
5911454	285159.531250	3.8	keep	closed-form dwdse loss (same math, fwd 72->35ms, +27% steps)
9239a2e	286320.687500	4.0	discard	8 layers re-test (still worse than 6; step-bound)
6e90015	286821.500000	3.5	discard	4 layers (too shallow; 6 is the sweet spot)
b5c2923	285411.406250	3.8	discard	grad clip 10.0 (tie/marginally worse; 1.0 fine)
55565af	287339.812500	4.2	discard	wider n_embed 640 (fewer steps; 512 optimal)
af48b41	284837.062500	3.8	keep	stratified t sampling (lower-variance training)
bccea23	284252.718750	3.8	keep	n_heads 8->16 (finer attention)
85ecf28	285239.187500	3.8	discard	n_heads 32 (head_dim 16 too small; 16 heads best)
99c61f8	283232.906250	3.1	keep	bf16 autocast training-only (works now: no R/K tensors; +30% steps)
820c193	285536.656250	3.3	discard	8 layers under bf16 (still worse; 6 robustly optimal)
dc7ace6	289710.562500	3.1	discard	importance sampling t~lam (undersamples low-noise; high-variance tail)
2e6554f	283826.750000	3.1	discard	skip intermediate evals (within stopping-point noise; keep logging)
076c244	282461.875000	3.3	keep	adaLN DiT-style time conditioning (beat step-cost; better train+val)
5b74dc3	280337.187500	3.3	keep	adaLN scale+shift only (simpler, +steps, clear win)
52f3cf0	285452.812500	3.3	discard	adaLN on final norm (hurts output head; block-only adaLN is best)
1bdd415	281844.687500	3.3	discard	LR 1.5e-3 under adaLN (still worse; 1e-3 robust)
3f3600e	283320.812500	3.4	discard	SwiGLU re-test (still worse; slower, fewer steps)
61c1f64	279225.906250	3.3	keep	attention scale head_dim**-0.5 (sharper; pairs with QK-norm; simpler)
7614795	201268.968750	3.3	keep	RoPE replaces learned pos-emb (HUGE win; param-free relative pos)
5e5c412	212948.921875	3.5	discard	8 layers under RoPE (still worse; 6 optimal, step-bound holds)
895c25f	198471.531250	3.3	keep	RoPE base 1000 (better positional resolution at short context)
0be4d31	199211.203125	3.3	discard	RoPE base 100 (within noise of base 1000; 1000 best)
adb79f5	201440.625000	3.3	discard	warmup 50 under RoPE (worse; 100 needed for LR stability)
721ad9a	201720.437500	3.3	discard	LR 1.2e-3 under RoPE (worse; 1e-3 optimal)
bf9b265	200280.000000	4.1	discard	GPU-resident data loader (data not bottleneck; gather overhead, +mem)
632393e	199856.593750	3.3	discard	8 heads under RoPE (16 still best)
f6d9352	207967.578125	3.0	discard	deeper-narrower 8x384 (width matters; 512 best)
